City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,rikitea,99,PF,overcast clouds,50,-23.12,-134.97,69.8,0.0,0,8.1
1,barrow,90,US,overcast clouds,80,71.29,-156.79,35.6,0.0,0,6.93
2,cartagena,40,CO,scattered clouds,63,10.4,-75.51,91.4,0.0,0,6.93
3,carnarvon,0,AU,clear sky,100,-24.87,113.63,57.2,0.0,0,8.05
4,aykhal,9,RU,clear sky,45,66.0,111.5,64.4,0.0,0,6.71
5,laguna,5,US,clear sky,39,38.42,-121.42,87.01,0.0,0,4.7
6,bone,0,DE,clear sky,43,51.97,12.14,72.0,0.0,0,5.19
7,ushuaia,75,AR,snow,91,-54.8,-68.3,33.8,0.0,0,9.17
8,khatanga,70,RU,light rain,68,71.97,102.5,66.76,0.33,0,7.92
9,adrar,0,MR,clear sky,7,20.5,-10.07,107.71,0.0,0,6.64
10,canaries,75,ES,broken clouds,60,28.0,-15.5,75.2,0.0,0,27.51
11,colac,13,AU,few clouds,99,-38.33,143.58,48.0,0.0,0,1.59
12,faanui,39,PF,scattered clouds,78,-16.48,-151.75,78.89,0.0,0,17.25
13,iberia,90,US,thunderstorm,78,29.95,-91.75,80.6,0.0,0,9.17
14,ancud,75,CL,broken clouds,93,-41.87,-73.82,45.0,0.0,0,6.93
15,jieshi,100,CN,overcast clouds,87,22.81,115.83,82.49,0.0,0,11.65
16,bogovarovo,8,RU,clear sky,91,58.98,47.02,54.73,0.0,0,5.1
17,fairbanks,90,US,overcast clouds,93,64.84,-147.72,50.0,0.0,0,4.7
18,hobart,90,AU,light intensity shower rain,93,-42.88,147.33,53.01,0.0,0,9.17
19,troitsko-pechorsk,100,RU,overcast clouds,76,62.71,56.2,44.04,0.0,0,8.3
20,sao desiderio,80,BR,broken clouds,47,-12.36,-44.97,83.89,0.0,0,6.64
21,ikornnes,97,NO,overcast clouds,85,62.39,6.56,60.01,0.0,0,7.0
22,punta arenas,0,CL,clear sky,56,-53.15,-70.92,41.0,0.0,0,19.46
23,hudson bay,15,CA,few clouds,40,52.85,-102.38,77.36,0.0,0,6.46
24,inhambane,20,MZ,few clouds,82,-23.86,35.38,64.4,0.0,0,3.36
25,scarborough,0,GB,clear sky,67,54.28,-0.4,73.0,0.0,0,1.01
26,geraldton,75,AU,broken clouds,82,-28.77,114.6,60.8,0.0,0,8.05
27,castro,0,BR,clear sky,65,-24.79,-50.01,68.68,0.0,0,6.91
28,la ronge,40,CA,scattered clouds,41,55.1,-105.28,77.0,0.0,0,9.17
29,sept-iles,75,CA,broken clouds,60,50.2,-66.38,73.4,0.0,0,10.29
30,ketrzyn,100,PL,overcast clouds,93,54.08,21.38,58.77,0.0,0,10.31
31,vaini,20,TO,few clouds,100,-21.2,-175.2,68.0,0.0,0,3.36
32,busselton,11,AU,few clouds,73,-33.65,115.33,54.0,0.0,0,13.22
