City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Umm Kaddadah,13.6,26.69,303.03,41,2,4.8,SD,2020-06-23 05:15:12
1,Avarua,-21.21,-159.78,297.15,69,46,5.7,CK,2020-06-23 05:15:12
2,Saskylakh,71.92,114.08,304.16,22,13,3.99,RU,2020-06-23 05:15:13
3,Esperance,-33.87,121.9,292.15,48,40,10.3,AU,2020-06-23 05:15:13
4,Arraial Do Cabo,-22.97,-42.03,295.03,80,6,5.1,BR,2020-06-23 05:15:13
5,Hastings,50.86,0.57,289.82,74,0,2.86,GB,2020-06-23 05:15:13
6,Oranjestad,12.52,-70.03,301.15,88,75,7.7,AW,2020-06-23 05:10:54
7,Kapaa,22.08,-159.32,299.15,74,20,5.1,US,2020-06-23 05:15:14
8,Cayenne,4.93,-52.33,296.15,100,75,0.59,GF,2020-06-23 05:15:14
9,Upernavik,72.79,-56.15,276.2,78,71,4.6,GL,2020-06-23 05:15:15
10,Lorengau,-2.02,147.27,302.58,73,100,2.27,PG,2020-06-23 05:15:15
11,Rikitea,-23.12,-134.97,294.57,54,47,6.13,PF,2020-06-23 05:15:15
12,Ushuaia,-54.8,-68.3,273.15,92,75,3.6,AR,2020-06-23 05:15:15
13,Noumea,-22.28,166.46,300.15,51,17,3.1,NC,2020-06-23 05:12:22
14,Cape Town,-33.93,18.42,285.93,100,75,3.6,ZA,2020-06-23 05:15:01
15,Da Nang,16.07,108.22,311.15,42,20,3.6,VN,2020-06-23 05:10:44
16,Nikolskoye,59.7,30.79,291.15,59,0,2.0,RU,2020-06-23 05:15:16
17,Mataura,-46.19,168.86,277.04,83,85,1.34,NZ,2020-06-23 05:15:16
18,Longyearbyen,78.22,15.64,279.15,75,20,3.1,SJ,2020-06-23 05:15:16
19,Houston,29.76,-95.36,297.15,83,1,3.6,US,2020-06-23 05:13:28
20,Lensk,60.73,114.93,293.75,56,62,4.22,RU,2020-06-23 05:15:17
21,Busselton,-33.65,115.33,289.82,59,34,8.39,AU,2020-06-23 05:15:17
22,Los Llanos De Aridane,28.66,-17.92,295.15,64,90,6.2,ES,2020-06-23 05:10:50
23,Fairbanks,64.84,-147.72,284.15,93,90,5.7,US,2020-06-23 05:14:18
24,Bom Jesus,-9.07,-44.36,292.74,68,0,1.22,BR,2020-06-23 05:15:18
25,New Norfolk,-42.78,147.06,285.37,90,100,0.89,AU,2020-06-23 05:15:18
26,Bulgan,48.81,103.53,288.37,74,98,5.71,MN,2020-06-23 05:15:18
27,Khatanga,71.97,102.5,302.66,27,87,4.63,RU,2020-06-23 05:15:18
28,Srednekolymsk,67.45,153.68,295.35,21,4,6.32,RU,2020-06-23 05:15:18
29,Mar Del Plata,-38.0,-57.56,283.15,100,90,1.5,AR,2020-06-23 05:15:19
30,Bandarbeyla,9.49,50.81,303.55,52,29,11.32,SO,2020-06-23 05:15:19
31,Mehran,33.12,46.16,298.15,27,0,2.1,IR,2020-06-23 05:15:19
32,Hobart,-42.88,147.33,285.93,93,75,9.3,AU,2020-06-23 05:10:51
33,San Cristobal,7.77,-72.22,291.99,88,93,2.44,VE,2020-06-23 05:15:19
34,Hermanus,-34.42,19.23,279.26,97,8,1.95,ZA,2020-06-23 05:15:20
35,Tuktoyaktuk,69.45,-133.04,284.15,76,75,4.6,CA,2020-06-23 05:15:20
36,Georgetown,5.41,100.34,304.15,70,20,1.0,MY,2020-06-23 05:15:20
37,Qingyuan,23.7,113.03,307.15,52,75,4.0,CN,2020-06-23 05:15:20
38,Pochutla,15.74,-96.47,299.26,82,100,1.21,MX,2020-06-23 05:15:21
39,Yellowknife,62.46,-114.35,292.59,47,75,3.1,CA,2020-06-23 05:15:21
40,Pevek,69.7,170.31,273.13,97,32,6.3,RU,2020-06-23 05:15:21
41,Fortuna,40.6,-124.16,287.59,93,1,1.5,US,2020-06-23 05:15:21
42,Hithadhoo,-0.6,73.08,302.42,72,14,4.12,MV,2020-06-23 05:15:21
43,Bluff,-46.6,168.33,277.04,83,100,1.34,NZ,2020-06-23 05:15:22
44,Soe,-9.86,124.28,297.01,61,25,4.06,ID,2020-06-23 05:15:22
45,Kimberley,-28.73,24.76,274.15,69,0,0.5,ZA,2020-06-23 05:11:52
46,Kroya,-7.63,109.25,301.88,68,64,5.61,ID,2020-06-23 05:15:23
47,Vaini,-21.2,-175.2,298.15,88,75,4.6,TO,2020-06-23 05:15:23
48,Roma,43.21,-75.46,296.15,78,20,1.5,US,2020-06-23 05:15:24
49,Atuona,-9.8,-139.03,299.53,78,14,7.01,PF,2020-06-23 05:15:24
50,Adrar,20.5,-10.07,307.18,13,73,5.99,MR,2020-06-23 05:15:25
51,Ponta Do Sol,32.67,-17.1,294.15,68,40,4.1,PT,2020-06-23 05:15:25
52,Petropavlovka,50.61,105.32,292.64,59,72,6.19,RU,2020-06-23 05:15:25
53,Nara,34.69,135.8,305.93,40,40,1.5,JP,2020-06-23 05:11:08
54,Hilo,19.73,-155.09,300.15,61,20,2.6,US,2020-06-23 05:15:26
55,Aktau,43.65,51.2,303.15,11,0,7.0,KZ,2020-06-23 05:15:26
56,Sao Joao Da Barra,-21.64,-41.05,293.49,84,0,3.71,BR,2020-06-23 05:15:26
57,Port Elizabeth,-33.92,25.57,281.15,81,0,1.0,ZA,2020-06-23 05:15:27
58,Egvekinot,66.32,-179.17,281.95,51,20,0.61,RU,2020-06-23 05:15:27
59,Kem,64.96,34.58,284.55,74,4,4.53,RU,2020-06-23 05:15:27
60,Chulym,55.1,80.96,293.87,65,73,2.86,RU,2020-06-23 05:15:27
61,Ihosy,-22.4,46.12,290.15,87,63,2.71,MG,2020-06-23 05:15:27
62,Punta Arenas,-53.15,-70.92,278.15,86,100,7.7,CL,2020-06-23 05:14:08
63,Aranos,-24.13,19.12,280.98,51,0,4.54,NA,2020-06-23 05:15:28
64,Saint-Philippe,-21.36,55.77,297.15,60,44,1.0,RE,2020-06-23 05:15:28
65,Zhumadian,32.98,114.03,303.09,52,64,3.42,CN,2020-06-23 05:13:13
66,Lhokseumawe,5.18,97.15,301.92,69,100,1.89,ID,2020-06-23 05:15:28
67,Port Hardy,50.7,-127.42,287.15,87,90,5.1,CA,2020-06-23 05:15:28
68,Kaitangata,-46.28,169.85,280.37,74,41,0.89,NZ,2020-06-23 05:15:29
69,Kwakoa,-3.77,37.72,292.87,81,99,2.39,TZ,2020-06-23 05:15:29
70,Lompoc,34.64,-120.46,287.15,87,90,2.6,US,2020-06-23 05:15:29
71,Severo-Kurilsk,50.68,156.12,283.08,80,100,5.07,RU,2020-06-23 05:15:29
72,Zakamensk,50.37,103.29,290.6,66,95,3.75,RU,2020-06-23 05:15:29
73,Torbay,47.67,-52.73,289.82,100,90,9.8,CA,2020-06-23 05:15:30
74,Bitung,1.45,125.18,303.15,70,40,3.1,ID,2020-06-23 05:15:30
75,Bahia Blanca,-38.72,-62.27,283.32,72,100,3.47,AR,2020-06-23 05:15:30
76,Butaritari,3.07,172.79,301.56,73,48,6.55,KI,2020-06-23 05:15:30
77,Katsina,12.99,7.6,299.18,67,88,5.98,NG,2020-06-23 05:15:30
78,Thompson,55.74,-97.86,287.15,93,40,1.0,CA,2020-06-23 05:15:31
79,Albany,42.6,-73.97,298.71,66,18,1.19,US,2020-06-23 05:15:31
80,Ketchikan,55.34,-131.65,285.15,93,90,7.2,US,2020-06-23 05:15:31
81,Touros,-5.2,-35.46,295.15,94,20,1.5,BR,2020-06-23 05:15:32
82,Chokurdakh,70.63,147.92,294.12,31,86,3.89,RU,2020-06-23 05:15:32
83,Berlevag,70.86,29.09,278.15,75,75,2.1,NO,2020-06-23 05:15:32
84,Lebu,-37.62,-73.65,282.11,79,39,3.82,CL,2020-06-23 05:15:32
85,Bethel,41.37,-73.41,295.15,78,40,1.72,US,2020-06-23 05:15:33
86,Koulikoro,14.0,-7.75,301.0,59,65,6.16,ML,2020-06-23 05:15:33
87,Barrow,71.29,-156.79,275.15,80,75,5.7,US,2020-06-23 05:15:33
88,Qaanaaq,77.48,-69.36,276.06,89,100,0.5,GL,2020-06-23 05:15:33
89,Nador,35.17,-2.93,295.15,88,40,2.6,MA,2020-06-23 05:15:34
90,Bengkulu,-3.8,102.27,299.21,85,95,4.05,ID,2020-06-23 05:15:34
91,Cherskiy,68.75,161.3,284.66,44,35,8.08,RU,2020-06-23 05:15:34
92,Bonthe,7.53,-12.51,298.39,85,81,1.31,SL,2020-06-23 05:15:34
93,Sitka,57.05,-135.33,284.15,87,90,0.08,US,2020-06-23 05:15:34
94,Tatawin,32.93,10.45,294.15,52,0,1.0,TN,2020-06-23 05:15:34
95,Rodbyhavn,54.65,11.35,290.37,84,0,0.89,DK,2020-06-23 05:15:35
96,Keti Bandar,24.14,67.45,306.67,58,3,0.65,PK,2020-06-23 05:15:35
97,Victoria,22.29,114.16,307.59,74,91,6.26,HK,2020-06-23 05:15:03
98,Carnarvon,-24.87,113.63,296.15,53,46,5.7,AU,2020-06-23 05:15:35
99,Port Hedland,-20.32,118.57,299.11,40,0,4.28,AU,2020-06-23 05:15:35
100,Sola,-13.88,167.55,300.78,79,83,6.2,VU,2020-06-23 05:15:36
